4_1,4_142,4_16,4_164,4_17,4_2,4_242,4_26,4_264,4_265,4_27,4_3,4_36,4_364,4_365,4_37,4_4,4_442,4_46,4_464,4_47,4_5,4_5/2,4_5/3,4_5/5,4_5/6,4_542,4_543,4_56,4_56/5,4_56/6,4_564,4_564/6,4_565,4_565/6,4_57,4_57/2,4_57/4,4_57/5,4_57/6,4_6,4_642,4_66,4_664,4_665,4_67,4_7,4_7/3,4_7/5,4_7/6,4_77
0.063,0.001,0.005,0.002,0.002,0.025,0.0,0.001,0.0,0.0,0.0,0.047,0.0,0.002,0.002,0.002,0.646,0.0,0.0,0.002,0.013,0.103,0.0,0.0,0.007,0.014,0.0,0.0,0.015,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.001,0.007,0.0,0.0,0.001,0.002,0.0,0.001,0.001,0.0,0.0,0.001,0.0
0.49,0.0,0.019,0.001,0.0,0.025,0.0,0.01,0.001,0.0,0.006,0.032,0.0,0.0,0.003,0.003,0.0,0.001,0.002,0.0,0.0,0.194,0.0,0.0,0.005,0.002,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003,0.0,0.0,0.0,0.0,0.158,0.0,0.0,0.004,0.0,0.01,0.0,0.0,0.0,0.0,0.0
0.0,0.006,0.012,0.014,0.0,0.031,0.004,0.006,0.0,0.0,0.005,0.027,0.0,0.002,0.0,0.0,0.349,0.0,0.0,0.005,0.004,0.396,0.0,0.001,0.005,0.004,0.0,0.002,0.027,0.0,0.004,0.0,0.0,0.0,0.0,0.005,0.004,0.006,0.0,0.003,0.04,0.0,0.0,0.0,0.0,0.004,0.002,0.0,0.0,0.0,0.006
0.187,0.0,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.003,0.0,0.025,0.0,0.0,0.0,0.0,0.455,0.0,0.0,0.0,0.0,0.022,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.0,0.0,0.0,0.0,0.255,0.0,0.003,0.0,0.0,0.015,0.0,0.0,0.0,0.0,0.0
0.052,0.0,0.0,0.0,0.0,0.046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.0,0.0,0.0,0.057,0.077,0.0,0.0,0.036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.031,0.0,0.294,0.0,0.0,0.0,0.0,0.077,0.0,0.0,0.0,0.0,0.0
0.069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017,0.0,0.0,0.0,0.0,0.0,0.503,0.0,0.0,0.0,0.011,0.143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.271,0.0,0.0,0.0,0.0,0.047,0.0,0.0,0.0,0.0,0.171,0.023,0.0,0.0,0.0,0.023,0.217,0.0,0.0,0.0,0.0,0.023,0.085,0.0,0.0,0.023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.032,0.0,0.0,0.064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.25,0.0,0.034,0.0,0.0,0.045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.034,0.0,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.068,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.078,0.0,0.0,0.0,0.0,0.273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.649,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.493,0.0,0.0,0.0,0.0,0.042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.211,0.0,0.0,0.042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.127,0.0,0.0,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.0
0.056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.537,0.0,0.037,0.0,0.13,0.019,0.0,0.0,0.0,0.0,0.0,0.0,0.111,0.0,0.0,0.019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.042,0.0,0.146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
